,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
739307,12/15/2015,19:12,MANHATTAN,10022,40.7610398,-73.9753742,"(40.7610398, -73.9753742)",WEST 54 STREET                  ,5 AVENUE                        ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3353972,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,PASSENGER VEHICLE,VAN,PASSENGER VEHICLE
752140,11/24/2015,23:18,MANHATTAN,10025,40.8015894,-73.9705445,"(40.8015894, -73.9705445)",RIVERSIDE DRIVE                 ,WEST 105 STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3341216,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
762289,11/08/2015,3:05,MANHATTAN,10034,40.8660623,-73.922499,"(40.8660623, -73.922499)",WEST 204 STREET                 ,VERMILYEA AVENUE                ,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3331000,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,UNKNOWN
764023,11/05/2015,4:15,MANHATTAN,10009,40.7281758,-73.9848573,"(40.7281758, -73.9848573)",1 AVENUE                        ,EAST 9 STREET                   ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3329249,TAXI,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
775851,10/17/2015,3:37,MANHATTAN,10035,40.8011399,-73.937687,"(40.8011399, -73.937687)",EAST 121 STREET                 ,3 AVENUE                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3316807,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE
777965,10/13/2015,10:23,MANHATTAN,10030,40.8178547,-73.947668,"(40.8178547, -73.947668)",ST NICHOLAS AVENUE              ,WEST 136 STREET                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,3314007,OTHER,VAN,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
782727,10/06/2015,16:35,MANHATTAN,10018,40.7607762,-74.0021839,"(40.7607762, -74.0021839)",JOE DIMAGGIO HIGHWAY            ,WEST 40 STREET                  ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3309704,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
782980,10/06/2015,6:46,MANHATTAN,10025,40.7972493,-73.9680399,"(40.7972493, -73.9680399)",AMSTERDAM AVENUE                ,WEST 101 STREET                 ,0,0,0,0,0,0,0,0,Brakes Defective,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,3310435,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
784781,10/03/2015,9:50,MANHATTAN,10033,40.850189,-73.9396363,"(40.850189, -73.9396363)",PINEHURST AVENUE                ,WEST 180 STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3308009,OTHER,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
789218,09/25/2015,13:45,MANHATTAN,10035,40.797932,-73.9339915,"(40.797932, -73.9339915)",EAST 119 STREET                 ,1 AVENUE                        ,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3303149,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,MOTORCYCLE,PASSENGER VEHICLE
794173,09/17/2015,14:30,MANHATTAN,10024,40.788358,-73.9745227,"(40.788358, -73.9745227)",WEST 87 STREET                  ,AMSTERDAM AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3298828,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
794565,09/17/2015,5:30,MANHATTAN,10033,40.8448454,-73.9351811,"(40.8448454, -73.9351811)",WEST 175 STREET                 ,AUDUBON AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3298098,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
798283,09/11/2015,23:15,MANHATTAN,10002,40.7107554,-74.0091619,"(40.7107554, -74.0091619)",EAST BROADWAY                   ,CLINTON STREET                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3294961,OTHER,MOTORCYCLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
803936,09/02/2015,1:20,MANHATTAN,10030,40.8178464,-73.9418441,"(40.8178464, -73.9418441)",WEST 139 STREET                 ,7 AVENUE                        ,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,3289370,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
809409,08/24/2015,5:15,MANHATTAN,10029,40.7992856,-73.9453602,"(40.7992856, -73.9453602)",EAST 115 STREET                 ,MADISON AVENUE                  ,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3283259,OTHER,VAN,VAN,SPORT UTILITY / STATION WAGON,VAN
818631,08/09/2015,6:20,MANHATTAN,10009,40.7215948,-73.9747647,"(40.7215948, -73.9747647)",EAST 6 STREET                   ,ROOSEVELT DRIVE                 ,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,Unspecified,Unspecified,Unspecified,3273944,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
840651,07/04/2015,3:20,MANHATTAN,10026,40.8033301,-73.9487269,"(40.8033301, -73.9487269)",WEST 118 STREET                 ,LENOX AVENUE                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3254195,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
850426,06/19/2015,7:00,MANHATTAN,10032,40.8364695,-73.9370251,"(40.8364695, -73.9370251)",EDGECOMBE AVENUE                ,WEST 164 STREET                 ,0,0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,Unspecified,Unspecified,Unspecified,3243422,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
864345,05/27/2015,16:50,MANHATTAN,10032,40.834114,-73.941118,"(40.834114, -73.941118)",WEST 159 STREET                 ,AMSTERDAM AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3228879,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
882501,04/28/2015,8:00,MANHATTAN,10018,40.752316,-73.9859454,"(40.752316, -73.9859454)",WEST 38 STREET                  ,6 AVENUE                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3210382,VAN,VAN,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
883024,04/27/2015,3:30,MANHATTAN,10032,40.840482,-73.9364647,"(40.840482, -73.9364647)",WEST 169 STREET                 ,AMSTERDAM AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3209885,PASSENGER VEHICLE,VAN,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
883599,04/26/2015,9:30,MANHATTAN,10030,40.8146335,-73.9441916,"(40.8146335, -73.9441916)",WEST 134 STREET                 ,7 AVENUE                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3209882,UNKNOWN,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
885169,04/23/2015,17:15,MANHATTAN,10007,40.7149081,-74.0113484,"(40.7149081, -74.0113484)",GREENWICH STREET                ,MURRAY STREET                   ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,3207458,PASSENGER VEHICLE,PASSENGER VEHICLE,UNKNOWN,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
888352,04/18/2015,6:19,MANHATTAN,10026,40.8013326,-73.9501877,"(40.8013326, -73.9501877)",WEST 115 STREET                 ,LENOX AVENUE                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3207594,UNKNOWN,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,VAN,VAN
892137,04/11/2015,19:30,MANHATTAN,10035,40.8057427,-73.9427541,"(40.8057427, -73.9427541)",EAST 124 STREET                 ,5 AVENUE                        ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,3201714,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
892138,04/11/2015,19:30,MANHATTAN,10035,40.8057427,-73.9427541,"(40.8057427, -73.9427541)",EAST 124 STREET                 ,5 AVENUE                        ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,Driver Inattention/Distraction,Unspecified,Unspecified,3201708,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
892271,04/11/2015,2:00,MANHATTAN,10016,40.7450578,-73.9786065,"(40.7450578, -73.9786065)",EAST 33 STREET                  ,3 AVENUE                        ,0,0,0,0,0,0,0,0,Pavement Defective,Unspecified,Unspecified,Unspecified,Unspecified,3201100,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
900314,03/26/2015,15:20,MANHATTAN,10018,40.7607762,-74.0021839,"(40.7607762, -74.0021839)",JOE DIMAGGIO HIGHWAY            ,WEST 40 STREET                  ,0,0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,Unspecified,Unspecified,Unspecified,3192392,SPORT UTILITY / STATION WAGON,BUS,PICK-UP TRUCK,PICK-UP TRUCK,PASSENGER VEHICLE
904890,03/18/2015,2:40,MANHATTAN,10033,40.8511089,-73.9306024,"(40.8511089, -73.9306024)",AUDUBON AVENUE                  ,WEST 185 STREET                 ,0,0,0,0,0,0,0,0,Alcohol Involvement,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,3188057,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
905068,03/17/2015,11:35,MANHATTAN,10009,40.7230103,-73.9857532,"(40.7230103, -73.9857532)",AVENUE A                        ,EAST 2 STREET                   ,0,0,0,0,0,0,0,0,Physical Disability,Other Vehicular,Other Vehicular,Unspecified,Unspecified,3187946,PASSENGER VEHICLE,TAXI,TAXI,TAXI,TAXI
910488,03/08/2015,8:02,MANHATTAN,10031,40.8308453,-73.9472242,"(40.8308453, -73.9472242)",BROADWAY                        ,WEST 152 STREET                 ,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,Alcohol Involvement,Alcohol Involvement,Alcohol Involvement,3183578,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
911558,03/06/2015,18:25,MANHATTAN,10003,40.7334357,-73.9954897,"(40.7334357, -73.9954897)",WEST 10 STREET                  ,5 AVENUE                        ,0,0,0,0,0,0,0,0,Pavement Slippery,Other Vehicular,Pavement Slippery,Unspecified,Unspecified,3180894,PASSENGER VEHICLE,TAXI,PASSENGER VEHICLE,TAXI,SPORT UTILITY / STATION WAGON
914573,03/02/2015,4:20,MANHATTAN,10036,40.760927,-73.9945276,"(40.760927, -73.9945276)",WEST 44 STREET                  ,10 AVENUE                       ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Oversized Vehicle,Unspecified,Unspecified,Unspecified,3178875,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,TAXI,TAXI,TAXI
931050,02/01/2015,5:49,MANHATTAN,10006,40.7076833,-74.0156791,"(40.7076833, -74.0156791)",WEST STREET                     ,WEST THAMES STREET              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3161804,UNKNOWN,TAXI,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
944364,01/06/2015,10:48,MANHATTAN,10002,40.719458,-73.98193,"(40.719458, -73.98193)",PITT STREET                     ,STANTON STREET                  ,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,3147909,TAXI,PASSENGER VEHICLE,TAXI,PASSENGER VEHICLE,PASSENGER VEHICLE
946377,01/03/2015,9:00,MANHATTAN,10001,40.7491296,-73.9882379,"(40.7491296, -73.9882379)",WEST 33 STREET                  ,6 AVENUE                        ,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3146995,PASSENGER VEHICLE,PASSENGER VEHICLE,UNKNOWN,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
948141,12/30/2014,9:00,MANHATTAN,10128,40.7804368,-73.949882,"(40.7804368, -73.949882)",EAST 90 STREET                  ,2 AVENUE                        ,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,3144849,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,MOTORCYCLE,SPORT UTILITY / STATION WAGON
961980,12/05/2014,8:15,MANHATTAN,10023,40.7791238,-73.9849757,"(40.7791238, -73.9849757)",WEST 71 STREET                  ,WEST END AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3131557,PASSENGER VEHICLE,PASSENGER VEHICLE,MOTORCYCLE,PASSENGER VEHICLE,UNKNOWN
968973,11/22/2014,3:00,MANHATTAN,10032,40.8429166,-73.9365889,"(40.8429166, -73.9365889)",WEST 172 STREET                 ,AUDUBON AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2827978,PASSENGER VEHICLE,TAXI,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
972660,11/16/2014,1:45,MANHATTAN,10031,40.828297,-73.9508577,"(40.828297, -73.9508577)",WEST 147 STREET                 ,RIVERSIDE DRIVE                 ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,2824501,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
979368,11/04/2014,16:35,MANHATTAN,10011,40.7476892,-74.0041684,"(40.7476892, -74.0041684)",WEST 23 STREET                  ,10 AVENUE                       ,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,2818272,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
983913,10/27/2014,10:00,MANHATTAN,10011,40.7459518,-73.9980079,"(40.7459518, -73.9980079)",8 AVENUE                        ,WEST 24 STREET                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2814922,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
987910,10/21/2014,18:00,MANHATTAN,10026,40.798243,-73.9524618,"(40.798243, -73.9524618)",WEST 110 STREET                 ,LENOX AVENUE                    ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,2811177,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE
1003523,09/23/2014,0:25,MANHATTAN,10035,40.8011849,-73.9397457,"(40.8011849, -73.9397457)",EAST 120 STREET                 ,LEXINGTON AVENUE                ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,1029296,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
1010046,09/13/2014,23:50,MANHATTAN,10018,40.7522807,-73.9896919,"(40.7522807, -73.9896919)",WEST 36 STREET                  ,7 AVENUE                        ,0,0,0,0,0,0,0,0,Following Too Closely,Backing Unsafely,Unspecified,Unspecified,Unspecified,1023685,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE
1014896,09/05/2014,6:19,MANHATTAN,10040,40.8606474,-73.927328,"(40.8606474, -73.927328)",SICKLES STREET                  ,NAGLE AVENUE                    ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,1018986,LARGE COM VEH(6 OR MORE TIRES),SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
1024444,08/18/2014,0:35,MANHATTAN,10031,40.8259047,-73.9471161,"(40.8259047, -73.9471161)",WEST 146 STREET                 ,AMSTERDAM AVENUE                ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,1010089,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
1033864,08/01/2014,11:20,MANHATTAN,10024,40.7806512,-73.9764177,"(40.7806512, -73.9764177)",WEST 77 STREET                  ,COLUMBUS AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,1001829,PICK-UP TRUCK,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
1039453,07/23/2014,20:58,MANHATTAN,10128,40.782942,-73.9480385,"(40.782942, -73.9480385)",2 AVENUE                        ,EAST 94 STREET                  ,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inattention/Distraction,Other Vehicular,Unspecified,Unspecified,997807,OTHER,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
1040623,07/21/2014,21:30,MANHATTAN,10026,40.7981287,-73.948312,"(40.7981287, -73.948312)",EAST 112 STREET                 ,5 AVENUE                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,996684,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE
1043357,07/16/2014,23:45,MANHATTAN,10019,40.7683816,-73.992805,"(40.7683816, -73.992805)",WEST 54 STREET                  ,11 AVENUE                       ,0,0,0,0,0,0,0,0,Steering Failure,Unspecified,Unspecified,Unspecified,Unspecified,994325,PASSENGER VEHICLE,PASSENGER VEHICLE,MOTORCYCLE,MOTORCYCLE,PASSENGER VEHICLE
1047379,07/08/2014,0:01,MANHATTAN,10040,40.858112,-73.9329846,"(40.858112, -73.9329846)",BENNETT AVENUE                  ,WEST 192 STREET                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,Other Vehicular,Unspecified,513522,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
